dim_1,dim_2,gene,0,1
38.0,187.0,CD14,36.82032667876588,166.84029038112521
38.0,1324.0,CD11c,50.00327868852459,1330.9016393442623
38.0,1531.0,CD14,25.318002628120894,1530.8817345597897
38.0,1758.0,CD14,44.50961538461539,1764.266826923077
39.0,670.0,CD11c,41.80287769784173,693.1179856115108
40.0,45.0,CD14,43.30739299610895,24.652399481193257
40.0,1558.0,CD11c,25.318002628120894,1530.8817345597897
44.0,1562.0,CD11c,23.93944099378882,1582.4114906832299
46.0,1651.0,CD11c,58.587268993839835,1650.4188911704312
46.0,1739.0,CD14,31.572093023255814,1738.8
47.0,1573.0,CD11c,23.93944099378882,1582.4114906832299
47.0,1796.0,CD11c,56.31456953642384,1796.5314569536424
49.0,1314.0,CD14,50.00327868852459,1330.9016393442623
49.0,1380.0,CD11c,77.18339768339769,1381.0
50.0,1543.0,CD14,25.318002628120894,1530.8817345597897
50.0,1646.0,CD14,58.587268993839835,1650.4188911704312
50.0,1662.0,CD11c,39.325036603221086,1663.471449487555
51.0,1247.0,CD14,16.98046875,1259.42578125
53.0,1662.0,CD14,58.587268993839835,1650.4188911704312
54.0,155.0,CD14,46.52857142857143,149.1238095238095
54.0,1192.0,CD11c,58.125531914893614,1195.3063829787234
54.0,1597.0,CD11c,23.93944099378882,1582.4114906832299
55.0,472.0,CD14,86.2970711297071,464.8305439330544
55.0,1590.0,CD11c,23.93944099378882,1582.4114906832299
55.0,1908.0,CD14,37.734475374732334,1914.1220556745182
56.0,1818.0,CD14,56.31456953642384,1796.5314569536424
56.0,1927.0,CD14,37.734475374732334,1914.1220556745182
57.0,997.0,CD14,65.96335697399527,1004.7907801418439
57.0,1597.0,CD11c,23.93944099378882,1582.4114906832299
57.0,1670.0,CD11c,39.325036603221086,1663.471449487555
57.0,1672.0,CD11c,39.325036603221086,1663.471449487555
59.0,481.0,CD14,86.2970711297071,464.8305439330544
59.0,1655.0,CD14,58.587268993839835,1650.4188911704312
59.0,1936.0,CD14,90.6483300589391,1940.9607072691551
60.0,1028.0,CD14,65.96335697399527,1004.7907801418439
61.0,11.0,CD14,43.30739299610895,24.652399481193257
61.0,1906.0,CD14,37.734475374732334,1914.1220556745182
61.0,1919.0,CD14,37.734475374732334,1914.1220556745182
62.0,1026.0,CD14,65.96335697399527,1004.7907801418439
62.0,1923.0,CD14,37.734475374732334,1914.1220556745182
63.0,162.0,CD14,63.05417276720351,160.45827232796486
63.0,1711.0,CD14,72.6636690647482,1754.0611510791366
65.0,167.0,CD14,63.05417276720351,160.45827232796486
65.0,1931.0,CD14,90.6483300589391,1940.9607072691551
66.0,1724.0,CD14,72.6636690647482,1754.0611510791366
67.0,1604.0,CD14,58.587268993839835,1650.4188911704312
67.0,1638.0,CD14,58.587268993839835,1650.4188911704312
68.0,166.0,CD14,63.05417276720351,160.45827232796486
68.0,1328.0,CD14,50.00327868852459,1330.9016393442623
68.0,1574.0,CD11c,111.79569892473118,1584.731182795699
68.0,1595.0,CD14,23.93944099378882,1582.4114906832299
68.0,1946.0,CD11c,90.6483300589391,1940.9607072691551
69.0,475.0,CD14,86.2970711297071,464.8305439330544
70.0,141.0,CD14,63.05417276720351,160.45827232796486
71.0,1202.0,CD14,58.125531914893614,1195.3063829787234
71.0,1502.0,CD14,92.19025522041764,1523.0580046403713
71.0,1658.0,CD14,77.09457092819615,1657.5761821366025
72.0,1678.0,CD14,77.09457092819615,1657.5761821366025
73.0,470.0,CD14,86.2970711297071,464.8305439330544
73.0,1594.0,CD14,111.79569892473118,1584.731182795699
75.0,1746.0,CD11c,72.6636690647482,1754.0611510791366
75.0,1810.0,CD14,56.1926523297491,1841.5376344086021
76.0,1676.0,CD11c,77.09457092819615,1657.5761821366025
76.0,1830.0,CD14,56.1926523297491,1841.5376344086021
77.0,133.0,CD14,63.05417276720351,160.45827232796486
77.0,1824.0,CD14,56.1926523297491,1841.5376344086021
78.0,675.0,CD14,80.79759519038076,689.0460921843687
80.0,1312.0,CD14,84.32042253521126,1307.406690140845
80.0,1735.0,CD14,72.6636690647482,1754.0611510791366
80.0,1769.0,CD11c,72.6636690647482,1754.0611510791366
80.0,1898.0,CD14,40.368115942028986,1887.7826086956522
81.0,1003.0,CD14,65.96335697399527,1004.7907801418439
81.0,1654.0,CD14,77.09457092819615,1657.5761821366025
82.0,768.0,CD14,98.72289156626506,765.8500669344043
82.0,1657.0,CD14,77.09457092819615,1657.5761821366025
83.0,1752.0,CD14,72.6636690647482,1754.0611510791366
84.0,1579.0,CD11c,111.79569892473118,1584.731182795699
84.0,1643.0,CD14,98.06768558951966,1639.5698689956332
85.0,1574.0,CD11c,111.79569892473118,1584.731182795699
85.0,1589.0,CD14,111.79569892473118,1584.731182795699
85.0,1889.0,CD14,40.368115942028986,1887.7826086956522
87.0,99.0,CD14,105.61361014994233,76.18223760092272
88.0,1384.0,CD11c,77.18339768339769,1381.0
88.0,1888.0,CD14,40.368115942028986,1887.7826086956522
90.0,475.0,CD14,86.2970711297071,464.8305439330544
90.0,538.0,CD11c,109.37468982630273,544.9330024813896
90.0,1879.0,CD14,92.6413881748072,1834.9293059125964
